date,incident_type,severity,status,description,reported_by,created_at
2024-10-30,Data Breach,Medium,Investigating,Unauthorized access attempt,alice,2024-06-03 11:54:44
2025-05-15,DDoS,Medium,Closed,Phishing email reported,bob,2024-09-30 04:37:06
2024-09-08,Insider Threat,Critical,Resolved,Malware execution blocked,alice,2024-09-14 03:43:17
2025-09-17,Phishing,Medium,Resolved,Suspicious activity detected,bob,2025-01-28 01:46:12
2024-12-14,DDoS,Critical,Open,Malware execution blocked,bob,2025-03-27 16:39:10
2024-05-31,DDoS,Low,Closed,System compromise detected,charlie,2024-10-14 22:41:13
2025-08-15,Malware,Critical,Resolved,Suspicious activity detected,frank,2023-12-17 17:18:34
2025-01-15,Data Breach,Medium,Resolved,System compromise detected,david,2025-10-25 01:32:04
2025-02-05,DDoS,High,Open,System compromise detected,eve,2024-03-26 04:54:00
2024-05-06,Phishing,Medium,Investigating,Unauthorized access attempt,heidi,2023-12-24 22:08:29
2024-08-16,DDoS,Medium,Closed,Suspicious activity detected,charlie,2024-02-23 11:04:01
2025-10-22,DDoS,Medium,Closed,Suspicious activity detected,david,2024-04-08 13:06:38
2024-09-22,Malware,Low,Resolved,System compromise detected,david,2023-12-29 00:23:27
2024-11-28,Malware,Low,Closed,Suspicious activity detected,charlie,2024-11-25 17:55:43
2025-09-10,Phishing,Low,Resolved,Phishing email reported,eve,2024-07-12 01:02:11
2024-02-24,Data Breach,Low,Open,System compromise detected,eve,2024-03-31 20:43:05
2025-06-03,Data Breach,Medium,Closed,System compromise detected,grace,2024-04-28 09:34:43
2024-05-03,Ransomware,High,Open,Phishing email reported,frank,2024-02-03 09:00:41
2025-09-11,Ransomware,Low,Open,Unauthorized access attempt,charlie,2025-04-09 20:06:07
2024-08-12,Malware,High,Investigating,Phishing email reported,david,2025-07-07 22:16:36
2024-06-08,Data Breach,Critical,Open,Unauthorized access attempt,david,2025-03-10 19:34:35
2025-04-29,DDoS,Medium,Resolved,Unauthorized access attempt,bob,2024-02-09 00:40:09
2024-07-03,Insider Threat,Low,Resolved,System compromise detected,david,2024-01-21 23:44:26
2024-10-30,Ransomware,Medium,Resolved,Malware execution blocked,heidi,2024-05-25 10:40:45
2025-07-07,DDoS,Critical,Closed,Suspicious activity detected,grace,2023-11-27 06:51:56
2024-07-24,Insider Threat,High,Resolved,Suspicious activity detected,eve,2024-08-15 05:52:31
2024-10-03,Data Breach,Critical,Investigating,Unauthorized access attempt,bob,2024-05-25 19:56:49
2025-09-13,Phishing,Low,Resolved,Suspicious activity detected,eve,2024-04-19 17:41:21
2025-07-30,Insider Threat,Medium,Open,System compromise detected,bob,2024-01-09 19:08:19
2024-08-19,Data Breach,Critical,Investigating,Unauthorized access attempt,heidi,2025-01-21 12:39:35
2024-11-03,Insider Threat,Critical,Open,Malware execution blocked,eve,2024-12-13 13:41:37
2025-08-26,Malware,Critical,Closed,Suspicious activity detected,charlie,2025-07-27 18:36:00
2024-06-08,Malware,High,Open,Malware execution blocked,bob,2024-10-16 10:29:49
2024-08-22,DDoS,Critical,Resolved,Unauthorized access attempt,frank,2025-06-13 21:00:30
2025-10-01,DDoS,High,Open,Suspicious activity detected,alice,2025-04-07 11:16:30
2025-11-08,Ransomware,Low,Open,Suspicious activity detected,heidi,2025-07-08 04:40:23
2024-04-15,Insider Threat,Low,Investigating,Suspicious activity detected,david,2023-12-27 19:17:19
2025-01-02,Insider Threat,Low,Resolved,Suspicious activity detected,bob,2025-01-07 03:11:00
2024-11-18,Phishing,High,Resolved,Phishing email reported,eve,2024-06-09 17:41:27
2025-07-05,DDoS,Critical,Investigating,Unauthorized access attempt,heidi,2024-08-03 23:41:09
2025-03-30,Insider Threat,Low,Closed,Suspicious activity detected,grace,2024-10-30 08:34:04
2024-03-29,Ransomware,High,Open,Unauthorized access attempt,heidi,2025-09-28 23:45:54
2025-04-01,Insider Threat,High,Open,Phishing email reported,charlie,2024-08-23 13:52:24
2024-11-17,Malware,High,Resolved,Suspicious activity detected,david,2024-11-27 18:38:42
2024-10-21,Phishing,Medium,Open,Phishing email reported,david,2024-10-28 01:38:26
2025-04-28,DDoS,Medium,Investigating,System compromise detected,alice,2024-01-05 08:02:56
2023-12-03,Malware,High,Resolved,Phishing email reported,heidi,2023-12-31 15:44:40
2024-11-19,Data Breach,High,Open,Suspicious activity detected,david,2025-04-04 22:49:20
2024-12-25,Insider Threat,Medium,Resolved,Suspicious activity detected,bob,2025-08-18 23:38:13
2024-07-13,Insider Threat,Low,Closed,Suspicious activity detected,frank,2024-09-16 08:34:08
2024-10-23,Malware,Low,Investigating,Suspicious activity detected,grace,2024-08-16 08:23:09
2023-11-23,Insider Threat,Critical,Resolved,Unauthorized access attempt,alice,2025-10-09 15:35:09
2024-07-30,Phishing,High,Resolved,System compromise detected,heidi,2025-07-02 17:01:26
2025-01-30,Malware,Critical,Open,Phishing email reported,heidi,2025-03-07 18:31:49
2023-12-09,Malware,Low,Closed,Malware execution blocked,eve,2024-03-31 20:51:13
2024-04-01,Malware,Critical,Investigating,Malware execution blocked,bob,2025-09-02 01:00:44
2025-01-17,Insider Threat,High,Resolved,Phishing email reported,frank,2025-05-20 15:08:18
2025-07-12,Insider Threat,Medium,Open,Suspicious activity detected,david,2024-12-07 11:19:12
2025-04-05,Data Breach,Critical,Closed,Malware execution blocked,bob,2024-01-01 21:55:36
2024-04-29,Ransomware,Critical,Resolved,Malware execution blocked,charlie,2024-10-14 15:37:22
2025-01-10,Insider Threat,Medium,Closed,Unauthorized access attempt,frank,2025-08-28 22:39:55
2024-10-07,Data Breach,Critical,Open,Suspicious activity detected,heidi,2025-03-23 14:09:32
2024-11-22,Data Breach,Medium,Closed,System compromise detected,heidi,2024-05-08 00:18:42
2025-06-17,Phishing,Medium,Resolved,Malware execution blocked,david,2025-10-20 00:17:32
2023-12-23,Malware,Critical,Investigating,Phishing email reported,alice,2025-02-01 16:11:14
2024-11-16,Malware,Critical,Investigating,Malware execution blocked,bob,2024-07-17 11:41:30
2025-10-05,DDoS,Critical,Investigating,Malware execution blocked,grace,2025-07-12 20:48:10
2024-01-16,Data Breach,Low,Investigating,Suspicious activity detected,heidi,2025-07-14 11:02:28
2025-05-22,Insider Threat,Medium,Open,Malware execution blocked,david,2024-12-18 06:09:59
2024-06-18,Insider Threat,Medium,Closed,Malware execution blocked,alice,2025-01-29 03:53:25
2025-01-30,Data Breach,Medium,Closed,Phishing email reported,heidi,2024-05-08 06:22:42
2025-09-24,Insider Threat,Critical,Closed,Phishing email reported,david,2024-11-04 12:54:09
2024-10-22,Malware,Critical,Resolved,Phishing email reported,david,2025-04-06 14:00:04
2024-12-22,DDoS,Critical,Closed,Phishing email reported,bob,2023-12-16 19:58:16
2025-05-11,Malware,Low,Closed,Malware execution blocked,charlie,2024-05-11 19:55:55
2025-05-16,Phishing,Medium,Investigating,Malware execution blocked,bob,2024-03-30 06:33:21
2024-06-06,Insider Threat,Low,Closed,Phishing email reported,grace,2024-06-07 08:54:06
2024-06-01,Malware,High,Resolved,Phishing email reported,charlie,2025-10-29 01:32:08
2024-11-22,Data Breach,Medium,Investigating,Unauthorized access attempt,charlie,2025-11-02 10:43:33
2025-02-19,Phishing,Critical,Resolved,Unauthorized access attempt,david,2025-04-16 13:00:28
2024-04-22,Malware,Low,Open,Malware execution blocked,bob,2025-07-13 19:52:08
2025-10-02,Insider Threat,Medium,Resolved,Suspicious activity detected,grace,2024-10-31 00:58:46
2024-09-01,Ransomware,High,Investigating,Phishing email reported,charlie,2024-07-25 01:57:36
2025-03-07,Insider Threat,Medium,Closed,Suspicious activity detected,eve,2024-06-12 07:40:51
2025-05-05,DDoS,High,Resolved,Suspicious activity detected,frank,2024-09-24 12:38:42
2025-03-28,Data Breach,Critical,Open,Malware execution blocked,bob,2024-03-29 23:47:39
2024-01-18,DDoS,Critical,Resolved,Unauthorized access attempt,grace,2024-05-09 02:56:07
2025-03-26,Ransomware,Low,Open,Suspicious activity detected,eve,2024-04-26 19:32:19
2024-05-09,Insider Threat,High,Resolved,Unauthorized access attempt,eve,2025-05-02 01:18:21
2024-06-26,Ransomware,Low,Investigating,Suspicious activity detected,heidi,2025-08-25 03:49:51
2024-08-20,Malware,Low,Open,Malware execution blocked,frank,2025-05-19 04:17:30
2024-05-04,DDoS,Medium,Closed,System compromise detected,eve,2025-02-15 00:56:13
2025-02-23,Ransomware,Low,Resolved,System compromise detected,alice,2025-01-20 22:00:31
2024-06-21,Phishing,High,Open,Malware execution blocked,david,2025-02-08 10:46:31
2024-09-01,Malware,Critical,Open,Suspicious activity detected,alice,2025-04-15 20:12:17
2024-02-18,Malware,Low,Open,System compromise detected,grace,2025-02-04 21:58:05
2025-07-12,Phishing,Critical,Open,Malware execution blocked,bob,2024-04-01 17:53:53
2024-10-20,Malware,Medium,Resolved,Unauthorized access attempt,david,2025-03-07 22:22:04
2024-07-10,Insider Threat,Low,Investigating,Suspicious activity detected,heidi,2025-03-08 22:48:28
2025-01-22,Phishing,Low,Open,System compromise detected,charlie,2025-01-31 06:16:18
2024-09-04,DDoS,Critical,Closed,Phishing email reported,eve,2024-01-17 18:18:05
2025-08-02,Ransomware,Low,Investigating,Unauthorized access attempt,david,2024-08-24 09:08:17
2025-03-20,Phishing,High,Investigating,System compromise detected,frank,2025-03-01 03:50:26
2025-11-10,Ransomware,Critical,Resolved,Suspicious activity detected,bob,2025-09-30 03:40:29
2025-02-03,Ransomware,Medium,Closed,Phishing email reported,frank,2023-11-25 01:21:36
2025-07-17,Data Breach,Low,Investigating,System compromise detected,bob,2025-08-13 05:41:10
2024-10-12,DDoS,Critical,Resolved,Phishing email reported,eve,2025-08-08 19:06:48
2024-01-29,Ransomware,Low,Resolved,Suspicious activity detected,heidi,2025-10-04 11:32:19
2025-05-25,Insider Threat,Low,Resolved,Malware execution blocked,eve,2025-03-24 04:40:44
2025-03-16,Malware,Critical,Open,Unauthorized access attempt,heidi,2025-03-25 21:42:59
2024-02-05,Phishing,Medium,Investigating,System compromise detected,bob,2025-07-03 03:19:40
2024-09-21,Data Breach,Low,Resolved,Unauthorized access attempt,heidi,2025-07-30 11:19:45
2024-11-07,Data Breach,Low,Investigating,Malware execution blocked,frank,2024-08-29 03:37:25
2024-04-07,Malware,Low,Closed,Malware execution blocked,frank,2025-11-12 03:16:13
2023-12-23,Malware,Critical,Open,Suspicious activity detected,heidi,2024-05-15 10:33:59
2025-01-23,Data Breach,High,Investigating,Malware execution blocked,bob,2025-10-02 10:33:26
2025-01-14,Ransomware,High,Open,System compromise detected,frank,2024-11-29 19:51:17
2025-01-21,Malware,Medium,Open,Unauthorized access attempt,charlie,2024-12-22 18:49:22
2024-03-08,Data Breach,Medium,Investigating,Unauthorized access attempt,bob,2024-02-11 06:43:25
2024-07-23,Phishing,Medium,Investigating,Phishing email reported,eve,2024-11-23 02:01:01
2024-04-26,Insider Threat,Critical,Investigating,System compromise detected,charlie,2025-10-27 04:31:59
2025-04-08,Data Breach,Critical,Resolved,Malware execution blocked,alice,2024-02-15 11:22:35
2025-09-27,Phishing,Low,Investigating,Suspicious activity detected,frank,2025-11-12 08:01:52
2025-07-28,Insider Threat,High,Closed,Unauthorized access attempt,frank,2025-06-03 10:39:10
2025-04-08,Insider Threat,Critical,Closed,System compromise detected,charlie,2025-03-04 03:03:18
2024-08-17,Malware,High,Closed,System compromise detected,eve,2025-07-18 08:40:38
2024-04-06,Data Breach,High,Investigating,Phishing email reported,bob,2024-05-18 08:58:31
2024-01-30,Ransomware,Low,Open,Malware execution blocked,alice,2024-06-16 14:45:16
2025-02-04,Ransomware,Low,Resolved,Malware execution blocked,david,2024-08-05 01:21:39
2024-03-25,Data Breach,High,Closed,Malware execution blocked,grace,2024-12-21 03:48:17
2024-12-27,Insider Threat,Medium,Closed,Phishing email reported,frank,2024-03-27 08:30:08
2024-11-01,Ransomware,Critical,Resolved,Phishing email reported,heidi,2025-08-17 19:08:05
2025-02-26,DDoS,High,Investigating,Unauthorized access attempt,bob,2024-09-27 22:27:42
2024-01-16,Phishing,High,Open,Malware execution blocked,charlie,2024-04-05 05:54:57
2025-09-10,Malware,Medium,Open,System compromise detected,grace,2024-07-29 04:44:57
2025-05-09,Phishing,Critical,Open,Unauthorized access attempt,eve,2024-06-20 16:13:23
2025-04-18,Malware,High,Resolved,Suspicious activity detected,david,2025-05-12 17:55:28
2025-03-29,Phishing,Low,Open,Suspicious activity detected,grace,2023-12-12 08:55:48
2024-03-08,Ransomware,Medium,Closed,Suspicious activity detected,grace,2024-08-15 20:26:57
2024-12-13,Insider Threat,High,Closed,Phishing email reported,david,2024-12-21 11:18:16
2024-05-31,Ransomware,Critical,Closed,Malware execution blocked,grace,2024-02-15 14:12:40
2024-12-29,DDoS,High,Closed,Phishing email reported,frank,2025-04-12 07:15:52
2024-08-28,DDoS,High,Resolved,System compromise detected,charlie,2024-06-04 05:47:39
2023-12-29,Ransomware,Low,Investigating,Malware execution blocked,david,2023-11-21 20:27:33
2025-04-28,Ransomware,Critical,Investigating,Unauthorized access attempt,grace,2024-06-21 18:31:10
2025-10-28,Phishing,Medium,Open,Malware execution blocked,david,2024-03-29 09:50:27
2025-09-21,DDoS,Critical,Closed,Phishing email reported,bob,2024-01-28 06:07:59
2025-10-22,Ransomware,Low,Open,Suspicious activity detected,eve,2025-07-12 03:50:46
2025-02-04,Ransomware,High,Resolved,Suspicious activity detected,frank,2024-11-08 22:25:11
2024-10-28,Data Breach,Critical,Closed,Malware execution blocked,heidi,2025-03-16 01:34:32
2023-11-18,Malware,High,Resolved,Unauthorized access attempt,heidi,2024-05-04 07:42:56
2024-09-23,Ransomware,Medium,Resolved,Phishing email reported,grace,2024-01-08 19:36:39
2025-05-22,Insider Threat,Medium,Closed,Malware execution blocked,david,2025-06-12 17:48:26
2023-12-21,Ransomware,Medium,Closed,Suspicious activity detected,frank,2024-01-08 13:05:47
2025-04-12,DDoS,High,Open,System compromise detected,david,2024-12-29 03:06:05
2024-02-26,Data Breach,Low,Open,System compromise detected,david,2024-03-07 12:51:21
2025-04-16,DDoS,Medium,Investigating,Phishing email reported,eve,2024-10-04 20:21:24
2024-05-31,Insider Threat,Medium,Resolved,Suspicious activity detected,heidi,2025-11-07 11:23:26
2023-12-12,Malware,Low,Investigating,Unauthorized access attempt,frank,2024-09-06 08:35:45
2024-07-01,Insider Threat,High,Investigating,Malware execution blocked,alice,2025-01-31 22:17:16
2025-11-12,Insider Threat,Medium,Investigating,Malware execution blocked,charlie,2025-10-23 08:07:19
2024-02-14,Ransomware,Medium,Closed,System compromise detected,bob,2025-05-26 00:20:26
2025-07-26,Ransomware,Critical,Resolved,Malware execution blocked,charlie,2025-04-07 08:51:51
2023-11-18,Ransomware,Low,Open,Unauthorized access attempt,frank,2024-05-28 22:42:08
2025-01-18,Ransomware,Critical,Closed,Unauthorized access attempt,charlie,2025-01-12 05:34:27
2024-04-22,Malware,Medium,Resolved,Phishing email reported,david,2023-11-20 09:44:26
2025-02-06,Ransomware,High,Open,Suspicious activity detected,heidi,2025-02-23 10:58:11
2025-02-25,Ransomware,Critical,Open,Suspicious activity detected,bob,2025-01-21 10:07:51
2025-06-15,DDoS,High,Resolved,Phishing email reported,david,2025-05-10 08:41:10
2025-07-22,DDoS,Low,Closed,System compromise detected,charlie,2025-06-20 03:17:55
2025-09-26,Insider Threat,Critical,Closed,Unauthorized access attempt,grace,2024-04-28 15:01:12
2024-08-23,Ransomware,High,Investigating,Suspicious activity detected,alice,2025-01-08 20:57:44
2025-04-03,Insider Threat,Critical,Investigating,Phishing email reported,grace,2023-12-22 13:21:40
2025-01-24,Malware,Low,Resolved,System compromise detected,charlie,2024-10-26 01:37:59
2023-11-27,Malware,Critical,Closed,Suspicious activity detected,bob,2023-12-21 23:18:17
2025-06-08,Malware,Medium,Resolved,Unauthorized access attempt,frank,2024-11-14 04:55:25
2024-08-09,Phishing,Low,Open,Unauthorized access attempt,david,2024-11-04 12:47:06
2025-04-17,Malware,Critical,Investigating,Unauthorized access attempt,frank,2024-12-18 09:27:56
2025-11-02,Malware,Low,Investigating,Unauthorized access attempt,david,2024-04-02 00:53:26
2025-08-02,Malware,Critical,Investigating,Malware execution blocked,alice,2024-08-24 11:32:58
2024-12-02,Ransomware,Critical,Open,Unauthorized access attempt,eve,2025-09-21 01:19:50
2025-01-15,Data Breach,Medium,Closed,Unauthorized access attempt,david,2024-02-19 01:49:15
2025-06-11,Malware,High,Resolved,Unauthorized access attempt,alice,2023-12-25 03:40:58
2025-01-31,Phishing,Critical,Closed,Suspicious activity detected,grace,2024-04-02 11:49:27
2024-02-29,Insider Threat,High,Open,Phishing email reported,david,2024-01-30 02:48:12
2025-08-29,Insider Threat,Medium,Open,System compromise detected,bob,2024-12-10 12:41:06
2024-02-05,Malware,Medium,Closed,Unauthorized access attempt,bob,2025-01-12 23:52:28
2024-01-04,Ransomware,High,Closed,Unauthorized access attempt,eve,2025-09-09 08:02:33
2024-05-15,Malware,Medium,Investigating,System compromise detected,david,2024-01-12 11:03:36
2025-04-08,DDoS,Critical,Closed,Malware execution blocked,bob,2024-01-13 20:02:06
2025-08-22,Ransomware,High,Closed,System compromise detected,david,2024-09-11 14:14:31
2024-05-08,Data Breach,Low,Closed,Malware execution blocked,bob,2025-05-01 01:34:31
2024-04-05,Data Breach,High,Resolved,Phishing email reported,alice,2025-10-28 07:38:46
2024-01-13,DDoS,Medium,Investigating,Malware execution blocked,heidi,2025-06-23 19:10:50
2024-01-26,DDoS,High,Closed,System compromise detected,grace,2025-09-30 05:08:14
2024-02-15,DDoS,Low,Investigating,Phishing email reported,frank,2024-07-09 03:09:04
2025-01-13,Phishing,Low,Resolved,Phishing email reported,eve,2024-11-10 07:04:20
2024-12-04,Malware,Critical,Closed,Malware execution blocked,eve,2025-03-18 09:24:35
2024-03-07,Phishing,High,Resolved,Malware execution blocked,heidi,2025-04-05 20:15:42
2024-02-19,Ransomware,Critical,Open,Malware execution blocked,heidi,2025-03-31 18:51:01
2025-06-10,DDoS,High,Resolved,System compromise detected,frank,2025-08-08 16:30:44
2024-04-12,Insider Threat,Critical,Resolved,Malware execution blocked,frank,2024-01-04 12:49:08
2025-04-13,Phishing,Critical,Closed,Unauthorized access attempt,david,2024-12-02 01:58:48
2024-12-21,Insider Threat,Medium,Resolved,Unauthorized access attempt,frank,2025-10-01 03:02:52
2025-09-26,Malware,High,Open,Malware execution blocked,grace,2024-04-28 22:37:18
2024-04-26,Phishing,High,Closed,Phishing email reported,charlie,2024-03-26 08:53:38
2025-03-31,Malware,Medium,Resolved,System compromise detected,eve,2025-01-31 22:51:14
2025-09-26,Ransomware,Medium,Investigating,Suspicious activity detected,frank,2024-09-12 17:27:21
2025-09-25,Insider Threat,Critical,Open,Unauthorized access attempt,frank,2023-11-30 19:54:13
2024-05-19,Data Breach,Critical,Open,Unauthorized access attempt,alice,2024-11-05 01:00:54
2023-12-08,DDoS,Low,Closed,Suspicious activity detected,alice,2024-05-20 05:39:09
2024-03-01,Data Breach,High,Closed,Malware execution blocked,david,2024-07-16 03:38:13
2025-04-06,Phishing,Medium,Open,Phishing email reported,charlie,2024-09-01 00:01:32
2025-08-02,Phishing,Low,Investigating,Suspicious activity detected,eve,2024-06-16 13:20:25
2025-05-12,Data Breach,High,Investigating,Unauthorized access attempt,frank,2025-01-25 02:29:58
2024-09-15,Ransomware,High,Closed,System compromise detected,david,2025-06-19 18:06:00
2025-07-10,Ransomware,Critical,Investigating,Suspicious activity detected,frank,2024-09-28 07:35:56
2024-06-12,Insider Threat,Critical,Investigating,System compromise detected,grace,2025-06-21 02:04:46
2024-12-10,Insider Threat,Critical,Open,Malware execution blocked,heidi,2024-05-31 22:42:36
2023-11-18,Malware,Low,Open,System compromise detected,david,2024-12-30 04:03:55
2025-11-03,Malware,Critical,Resolved,Suspicious activity detected,grace,2025-04-11 18:35:22
2024-06-09,Data Breach,Low,Open,Malware execution blocked,frank,2023-12-05 23:12:55
2025-04-25,Data Breach,Critical,Closed,System compromise detected,eve,2024-06-30 06:58:34
2024-08-29,Insider Threat,Medium,Open,Malware execution blocked,grace,2023-12-10 17:35:02
2024-06-07,Phishing,High,Closed,System compromise detected,frank,2024-10-04 21:18:41
2024-01-25,Phishing,Medium,Resolved,Phishing email reported,frank,2024-06-07 14:35:08
2025-10-17,DDoS,Medium,Resolved,Phishing email reported,alice,2025-05-15 17:25:50
2024-03-03,DDoS,Medium,Closed,System compromise detected,david,2024-11-08 18:47:54
2025-03-12,DDoS,Critical,Open,Unauthorized access attempt,eve,2025-05-03 17:28:30
2024-08-25,Ransomware,Critical,Investigating,Phishing email reported,eve,2024-10-14 15:04:13
2024-08-27,Data Breach,Critical,Closed,Malware execution blocked,heidi,2025-09-19 11:42:32
2024-08-06,Ransomware,Low,Resolved,Unauthorized access attempt,eve,2024-10-26 20:13:54
2025-02-03,Phishing,Critical,Investigating,Phishing email reported,david,2025-06-30 01:30:57
2025-09-14,Data Breach,High,Resolved,System compromise detected,heidi,2024-06-28 22:49:32
2025-05-25,Ransomware,Low,Closed,System compromise detected,charlie,2025-01-09 23:33:54
2025-04-18,Malware,Critical,Resolved,System compromise detected,heidi,2023-11-24 14:06:15
2024-12-29,Insider Threat,High,Closed,Suspicious activity detected,alice,2023-11-26 08:42:05
2024-09-23,DDoS,Critical,Resolved,Malware execution blocked,alice,2024-02-06 04:58:51
2023-11-21,Data Breach,Critical,Open,Malware execution blocked,grace,2023-12-28 22:33:59
2023-12-01,DDoS,Critical,Open,System compromise detected,heidi,2025-03-24 03:23:24
2024-08-03,DDoS,Medium,Open,System compromise detected,david,2024-03-10 06:46:54
2025-07-08,DDoS,Low,Investigating,Suspicious activity detected,heidi,2024-09-15 08:33:23
2024-02-15,DDoS,Medium,Open,Suspicious activity detected,charlie,2024-09-21 20:41:41
2025-06-07,Phishing,Medium,Closed,System compromise detected,alice,2024-02-13 23:27:32
2024-02-10,Phishing,Critical,Investigating,System compromise detected,frank,2024-02-20 17:31:43
2024-08-21,Phishing,Low,Open,System compromise detected,heidi,2024-01-03 21:58:34
2024-10-28,Malware,High,Resolved,System compromise detected,frank,2025-10-16 05:45:16
2025-09-30,Malware,Low,Resolved,System compromise detected,eve,2024-03-08 13:22:02
2023-12-28,Malware,Critical,Closed,Unauthorized access attempt,alice,2024-03-11 05:33:07
