date,incident_type,severity,status,description,reported_by,created_at
2025-06-28,Insider Threat,Medium,Resolved,System compromise detected,eve,2025-10-11 06:05:14
2025-05-30,DDoS,Medium,Closed,Phishing email reported,charlie,2024-08-12 00:52:17
2024-03-03,DDoS,Medium,Open,Unauthorized access attempt,eve,2025-04-24 23:10:37
2024-06-17,Insider Threat,High,Closed,Suspicious activity detected,eve,2025-02-28 00:53:21
2024-08-16,Phishing,Critical,Open,Phishing email reported,charlie,2024-09-13 08:08:33
2025-03-11,DDoS,Low,Resolved,Unauthorized access attempt,frank,2024-07-10 08:27:42
2024-09-18,Data Breach,Low,Closed,Suspicious activity detected,frank,2025-10-22 08:50:17
2025-09-11,Data Breach,Medium,Open,Malware execution blocked,heidi,2024-01-13 22:54:27
2025-03-13,Ransomware,Low,Resolved,Suspicious activity detected,david,2025-04-11 04:27:20
2024-05-05,DDoS,Low,Resolved,Suspicious activity detected,frank,2024-09-07 08:20:37
2024-01-23,Phishing,Low,Open,Suspicious activity detected,bob,2024-04-30 23:27:06
2025-09-26,DDoS,Medium,Open,Suspicious activity detected,charlie,2024-03-30 05:55:15
2023-12-28,Data Breach,High,Open,System compromise detected,bob,2025-05-28 16:46:30
2024-06-27,Malware,High,Investigating,Malware execution blocked,frank,2025-03-02 05:08:45
2024-12-31,Phishing,Medium,Investigating,Phishing email reported,heidi,2025-11-03 20:04:16
2024-09-09,Insider Threat,Low,Open,Unauthorized access attempt,heidi,2025-02-06 03:52:11
2023-12-01,DDoS,High,Open,Suspicious activity detected,charlie,2025-07-02 19:12:42
2025-01-24,Malware,Critical,Resolved,Malware execution blocked,david,2024-10-12 11:26:50
2025-09-10,Ransomware,High,Open,Suspicious activity detected,alice,2024-06-07 02:01:54
2024-11-26,Ransomware,Critical,Resolved,Malware execution blocked,frank,2025-05-23 19:08:29
2024-10-28,Malware,Medium,Resolved,Unauthorized access attempt,bob,2024-07-02 01:11:28
2025-08-23,Malware,High,Closed,Unauthorized access attempt,charlie,2024-07-27 02:54:29
2024-05-24,Phishing,High,Closed,Suspicious activity detected,heidi,2024-10-21 08:16:48
2023-12-01,Malware,Critical,Investigating,System compromise detected,david,2024-06-20 23:38:51
2024-05-09,DDoS,Low,Closed,Malware execution blocked,charlie,2024-10-27 23:42:33
2024-07-27,DDoS,Medium,Investigating,Suspicious activity detected,bob,2025-02-27 06:56:17
2025-06-23,DDoS,High,Resolved,Malware execution blocked,david,2024-04-05 19:30:34
2025-03-17,DDoS,Low,Resolved,Phishing email reported,heidi,2024-04-03 04:24:57
2025-03-11,Ransomware,Medium,Resolved,Suspicious activity detected,bob,2024-10-06 19:10:40
2025-01-22,Insider Threat,High,Closed,System compromise detected,eve,2025-11-09 15:56:45
2024-09-27,Data Breach,Low,Closed,Phishing email reported,bob,2024-10-17 21:08:10
2024-05-23,Insider Threat,Low,Open,Unauthorized access attempt,eve,2024-10-18 01:22:33
2023-12-01,Ransomware,Medium,Resolved,System compromise detected,alice,2024-02-28 20:55:03
2025-06-18,Malware,High,Closed,Suspicious activity detected,bob,2024-12-29 09:42:53
2024-05-11,DDoS,Critical,Investigating,Unauthorized access attempt,bob,2025-09-19 14:26:07
2025-03-30,Malware,Critical,Open,Malware execution blocked,alice,2024-08-11 19:51:48
2024-10-05,Ransomware,Medium,Open,Unauthorized access attempt,bob,2024-09-13 19:31:10
2025-09-28,Phishing,High,Resolved,Malware execution blocked,heidi,2023-12-19 09:41:34
2024-10-22,Data Breach,Critical,Resolved,Suspicious activity detected,eve,2025-01-06 14:10:46
2024-07-19,Data Breach,Low,Open,Malware execution blocked,bob,2024-07-24 22:34:54
2023-12-25,Malware,Low,Closed,Malware execution blocked,eve,2024-02-15 02:10:53
2025-04-02,DDoS,Critical,Closed,Suspicious activity detected,charlie,2024-09-15 17:56:24
2025-02-25,Insider Threat,Critical,Open,Malware execution blocked,heidi,2025-01-09 11:55:31
2024-12-08,Malware,High,Resolved,Unauthorized access attempt,charlie,2024-11-06 14:08:34
2024-03-12,Ransomware,Critical,Open,Phishing email reported,charlie,2025-07-14 18:27:31
2025-10-05,Data Breach,Critical,Resolved,System compromise detected,alice,2025-08-24 00:03:43
2025-09-11,Ransomware,Medium,Closed,Phishing email reported,eve,2024-07-16 15:26:37
2025-02-23,Phishing,Medium,Investigating,Unauthorized access attempt,david,2024-11-14 20:42:36
2024-12-28,DDoS,Low,Resolved,Malware execution blocked,charlie,2025-10-20 16:28:29
2024-03-02,Data Breach,Critical,Closed,System compromise detected,charlie,2024-11-21 01:14:30
2025-10-30,DDoS,High,Resolved,Phishing email reported,charlie,2023-11-27 22:31:08
2025-07-27,Ransomware,Medium,Investigating,Suspicious activity detected,bob,2025-01-15 17:43:16
2024-07-24,Phishing,Medium,Open,Suspicious activity detected,eve,2025-08-10 08:47:52
2025-09-14,Insider Threat,High,Resolved,Suspicious activity detected,grace,2025-08-14 06:05:58
2024-06-05,Ransomware,High,Closed,System compromise detected,charlie,2025-05-09 07:19:14
2025-11-16,Phishing,Medium,Closed,Unauthorized access attempt,bob,2024-08-27 07:57:30
2025-02-12,Malware,Low,Open,System compromise detected,heidi,2024-09-11 11:41:31
2024-04-17,Ransomware,High,Investigating,Unauthorized access attempt,heidi,2025-07-01 19:04:57
2025-10-13,Insider Threat,High,Investigating,Malware execution blocked,charlie,2024-12-24 08:22:01
2025-09-19,DDoS,Critical,Investigating,Suspicious activity detected,alice,2025-10-11 16:53:59
2024-06-22,Ransomware,High,Resolved,System compromise detected,frank,2025-09-03 23:39:15
2025-04-10,Data Breach,High,Investigating,Malware execution blocked,eve,2024-03-05 20:59:36
2024-02-15,Data Breach,Medium,Resolved,Suspicious activity detected,bob,2025-06-24 00:49:14
2025-02-13,DDoS,Low,Investigating,System compromise detected,alice,2024-02-11 12:10:45
2025-06-19,Insider Threat,Critical,Investigating,Suspicious activity detected,david,2024-12-19 07:27:42
2025-04-05,DDoS,Low,Investigating,Phishing email reported,david,2024-06-12 00:50:37
2025-10-21,Malware,High,Resolved,Phishing email reported,heidi,2025-02-12 07:36:50
2025-07-11,Phishing,Critical,Open,Suspicious activity detected,alice,2024-08-02 03:13:20
2024-12-17,Data Breach,High,Investigating,Unauthorized access attempt,frank,2024-04-20 19:52:11
2024-01-17,Data Breach,Low,Closed,Suspicious activity detected,eve,2025-08-22 23:49:56
2024-07-20,Insider Threat,Medium,Open,Unauthorized access attempt,charlie,2024-12-11 22:04:27
2024-04-15,Data Breach,Critical,Investigating,System compromise detected,david,2024-03-15 10:04:18
2025-10-21,Data Breach,High,Resolved,Phishing email reported,david,2024-03-22 16:22:06
2025-11-04,Insider Threat,Low,Investigating,System compromise detected,bob,2025-09-05 08:44:38
2024-01-16,Ransomware,Critical,Resolved,Suspicious activity detected,frank,2025-03-21 22:25:35
2025-06-21,Phishing,Low,Investigating,Phishing email reported,eve,2024-05-09 00:08:36
2025-02-13,Data Breach,High,Investigating,Suspicious activity detected,grace,2024-12-12 08:40:49
2024-05-19,Ransomware,High,Open,Unauthorized access attempt,alice,2025-03-09 01:33:56
2024-07-14,Ransomware,High,Closed,Unauthorized access attempt,frank,2024-08-09 15:51:37
2024-04-13,Malware,Critical,Closed,Unauthorized access attempt,alice,2025-04-23 16:52:21
2024-07-29,Data Breach,Critical,Closed,System compromise detected,charlie,2024-06-17 02:22:17
2024-07-17,DDoS,High,Investigating,Suspicious activity detected,charlie,2025-05-25 03:24:51
2025-09-05,DDoS,High,Closed,Phishing email reported,david,2024-04-11 12:13:33
2025-04-12,Insider Threat,Critical,Open,System compromise detected,heidi,2025-07-27 08:07:02
2025-02-27,Malware,High,Open,Suspicious activity detected,alice,2025-01-15 22:44:01
2025-10-22,Malware,Low,Open,Suspicious activity detected,heidi,2024-11-12 00:32:12
2025-07-18,Ransomware,Low,Closed,Unauthorized access attempt,charlie,2025-06-09 06:21:22
2025-01-23,Phishing,Low,Closed,Phishing email reported,alice,2024-02-09 05:20:46
2024-03-16,Malware,Medium,Resolved,System compromise detected,frank,2023-12-22 08:38:24
2025-06-24,Data Breach,Medium,Open,Malware execution blocked,grace,2024-10-16 09:24:43
2025-11-04,DDoS,Critical,Open,Unauthorized access attempt,frank,2025-04-28 03:21:37
2024-12-22,Malware,High,Open,Malware execution blocked,grace,2024-01-16 05:29:07
2024-03-12,Malware,High,Closed,Unauthorized access attempt,grace,2024-04-09 19:15:55
2025-09-13,Ransomware,Low,Resolved,System compromise detected,alice,2024-02-11 13:40:46
2024-12-26,Malware,High,Investigating,System compromise detected,heidi,2025-06-11 14:42:40
2024-02-09,DDoS,Critical,Closed,Phishing email reported,charlie,2024-08-21 20:11:00
2024-07-14,Data Breach,Low,Closed,Malware execution blocked,grace,2025-03-07 23:25:44
2025-08-09,Malware,Low,Investigating,Suspicious activity detected,david,2023-12-27 22:34:02
2024-04-28,Insider Threat,Medium,Resolved,System compromise detected,bob,2024-02-20 15:32:28
2024-07-20,Phishing,Medium,Open,Malware execution blocked,grace,2025-09-08 02:50:04
2024-02-06,Ransomware,High,Investigating,Malware execution blocked,alice,2024-01-04 04:07:44
2025-01-27,DDoS,Low,Closed,Phishing email reported,heidi,2024-09-15 14:04:34
2025-06-05,Insider Threat,High,Open,Suspicious activity detected,grace,2025-07-10 13:52:13
2024-11-25,Insider Threat,Critical,Resolved,System compromise detected,frank,2024-08-24 11:54:22
2025-06-14,Data Breach,Critical,Resolved,System compromise detected,eve,2023-12-14 16:06:17
2024-11-17,Data Breach,Medium,Open,Unauthorized access attempt,bob,2024-08-18 08:32:36
2024-11-27,Insider Threat,Low,Closed,Phishing email reported,charlie,2024-10-10 23:14:44
2024-05-23,Phishing,Critical,Open,Unauthorized access attempt,charlie,2025-08-16 11:50:16
2025-11-07,Data Breach,Low,Closed,Unauthorized access attempt,charlie,2023-11-19 05:27:56
2023-11-20,Data Breach,High,Closed,System compromise detected,charlie,2024-09-10 07:42:01
2025-01-30,Phishing,High,Open,Phishing email reported,grace,2025-02-18 08:21:19
2024-12-10,Phishing,Medium,Closed,Unauthorized access attempt,charlie,2024-08-02 16:16:27
2024-09-26,Insider Threat,Low,Open,Suspicious activity detected,bob,2025-07-01 16:22:37
2024-09-26,Malware,High,Open,System compromise detected,bob,2024-09-07 12:54:24
2025-06-08,Ransomware,High,Resolved,Phishing email reported,eve,2024-12-11 13:20:51
2025-01-17,Malware,High,Resolved,Suspicious activity detected,bob,2025-05-06 03:20:00
2025-05-26,Phishing,Medium,Resolved,Phishing email reported,heidi,2024-02-20 15:05:22
2024-01-02,Malware,Medium,Open,Phishing email reported,heidi,2025-06-24 13:27:29
2025-04-09,Malware,Critical,Resolved,Suspicious activity detected,eve,2025-06-29 20:08:07
2025-05-24,Ransomware,Critical,Closed,Phishing email reported,eve,2024-03-17 05:43:39
2025-02-10,Malware,Low,Closed,Phishing email reported,heidi,2024-09-05 11:26:32
2024-01-16,Data Breach,Medium,Resolved,Malware execution blocked,david,2023-12-01 11:46:50
2024-02-09,Data Breach,Low,Open,Suspicious activity detected,david,2024-08-10 21:45:57
2024-03-05,Ransomware,Low,Closed,Unauthorized access attempt,charlie,2025-09-18 16:50:57
2024-03-20,DDoS,Medium,Resolved,Malware execution blocked,bob,2024-06-04 19:15:59
2025-08-02,Insider Threat,High,Open,Unauthorized access attempt,charlie,2024-06-08 09:21:23
2025-08-16,Phishing,Medium,Closed,Phishing email reported,grace,2024-11-08 02:32:44
2025-05-30,Data Breach,Low,Resolved,Suspicious activity detected,grace,2025-04-28 11:48:14
2025-08-19,Ransomware,Medium,Investigating,System compromise detected,heidi,2024-09-09 09:46:27
2024-07-16,Phishing,High,Investigating,System compromise detected,alice,2023-12-23 01:17:05
2025-10-16,Data Breach,High,Closed,Unauthorized access attempt,frank,2023-12-21 02:14:44
2024-06-26,Data Breach,Low,Resolved,Phishing email reported,heidi,2024-06-08 02:18:22
2025-10-30,DDoS,Medium,Investigating,Unauthorized access attempt,frank,2024-10-17 21:24:12
2025-08-04,Ransomware,Low,Open,System compromise detected,frank,2023-12-18 20:53:10
2024-01-21,Ransomware,Critical,Open,Unauthorized access attempt,charlie,2023-12-14 02:32:42
2024-05-14,DDoS,High,Resolved,Phishing email reported,grace,2024-05-08 18:54:42
2025-03-15,Ransomware,High,Resolved,Suspicious activity detected,grace,2025-08-26 12:06:42
2024-12-16,Insider Threat,High,Closed,Malware execution blocked,heidi,2024-07-04 22:38:29
2025-08-13,Malware,High,Closed,Malware execution blocked,charlie,2024-11-15 14:47:11
2025-08-28,Malware,Low,Resolved,Unauthorized access attempt,grace,2024-10-08 10:19:39
2025-04-27,Phishing,Low,Open,Suspicious activity detected,eve,2024-01-16 07:23:59
2024-12-19,DDoS,Critical,Investigating,System compromise detected,grace,2025-08-16 22:49:22
2025-07-02,Ransomware,Low,Resolved,Unauthorized access attempt,alice,2025-08-22 08:06:01
2024-12-19,Malware,High,Closed,System compromise detected,charlie,2024-04-15 07:24:21
2024-06-19,Insider Threat,High,Resolved,Suspicious activity detected,david,2025-04-24 09:39:03
2024-12-29,Ransomware,Medium,Investigating,System compromise detected,david,2024-01-26 01:41:35
2024-10-14,Malware,Low,Open,Malware execution blocked,charlie,2024-05-18 19:43:53
2024-09-21,Insider Threat,High,Resolved,Phishing email reported,alice,2024-03-13 15:20:25
2025-04-29,Ransomware,High,Investigating,System compromise detected,eve,2024-04-01 15:37:24
2024-09-06,Malware,High,Closed,Malware execution blocked,frank,2025-02-11 22:32:17
2024-12-05,Phishing,Low,Investigating,Unauthorized access attempt,frank,2025-09-05 10:11:48
2024-05-12,DDoS,Critical,Closed,Unauthorized access attempt,alice,2024-05-17 11:23:21
2024-04-02,Ransomware,Low,Open,System compromise detected,frank,2025-06-30 13:44:04
2025-02-10,Ransomware,High,Closed,Phishing email reported,david,2024-09-12 01:32:21
2023-11-27,Phishing,Medium,Closed,System compromise detected,heidi,2025-04-27 02:57:22
2025-10-16,Malware,Medium,Closed,System compromise detected,grace,2025-05-08 00:15:15
2025-11-06,Insider Threat,Medium,Investigating,Unauthorized access attempt,heidi,2024-07-05 21:22:00
2024-03-16,DDoS,Critical,Closed,System compromise detected,grace,2024-05-21 22:58:48
2024-04-12,Ransomware,Medium,Closed,Unauthorized access attempt,eve,2024-03-02 20:03:23
2024-01-14,Phishing,Low,Investigating,Unauthorized access attempt,alice,2024-08-06 19:27:18
2024-11-20,Phishing,High,Open,Phishing email reported,bob,2023-12-04 08:34:45
2025-08-10,Phishing,High,Resolved,System compromise detected,heidi,2025-07-30 15:08:56
2025-10-24,Insider Threat,Critical,Resolved,System compromise detected,alice,2024-09-05 04:38:16
2024-08-06,DDoS,Medium,Resolved,Unauthorized access attempt,frank,2025-03-23 02:57:23
2025-09-28,Phishing,Medium,Resolved,Phishing email reported,alice,2025-09-04 16:43:37
2024-07-28,Ransomware,Critical,Closed,Malware execution blocked,frank,2025-04-11 02:11:10
2024-08-29,DDoS,Critical,Closed,Suspicious activity detected,charlie,2025-08-28 06:25:59
2024-06-22,Data Breach,Critical,Resolved,Phishing email reported,eve,2025-11-12 11:42:03
2024-09-27,Malware,High,Resolved,System compromise detected,eve,2025-02-08 21:50:47
2024-12-13,Ransomware,Medium,Investigating,System compromise detected,charlie,2023-11-19 00:29:10
2025-02-06,Insider Threat,Medium,Resolved,Unauthorized access attempt,grace,2023-11-24 13:52:48
2025-08-11,Malware,High,Resolved,Phishing email reported,alice,2024-01-15 09:13:43
2025-10-12,DDoS,High,Resolved,Malware execution blocked,grace,2024-09-19 05:09:58
2024-04-23,Data Breach,Critical,Resolved,System compromise detected,eve,2025-03-21 08:01:29
2024-12-07,Ransomware,High,Closed,Suspicious activity detected,grace,2024-05-31 01:04:27
2024-04-25,Data Breach,High,Open,Phishing email reported,heidi,2025-10-14 15:42:35
2023-12-24,Ransomware,Medium,Investigating,Phishing email reported,alice,2025-10-23 05:47:05
2024-10-16,Ransomware,High,Investigating,Suspicious activity detected,david,2024-12-02 01:12:37
2024-12-07,Data Breach,Critical,Open,Malware execution blocked,charlie,2024-10-06 18:06:42
2025-03-17,Insider Threat,High,Open,System compromise detected,bob,2024-06-23 13:07:58
2025-10-15,Data Breach,Medium,Closed,System compromise detected,charlie,2025-02-15 11:27:49
2024-03-09,Malware,Low,Resolved,Suspicious activity detected,frank,2025-09-19 07:06:56
2024-04-27,Insider Threat,Low,Resolved,Unauthorized access attempt,eve,2024-04-11 03:31:56
2025-08-21,Phishing,High,Investigating,Suspicious activity detected,bob,2024-01-31 14:39:55
2024-07-10,Data Breach,Low,Investigating,System compromise detected,frank,2025-10-25 20:03:54
2024-03-27,Malware,Critical,Closed,Suspicious activity detected,heidi,2023-11-26 22:13:30
2025-09-12,Data Breach,Low,Resolved,Malware execution blocked,frank,2024-01-11 03:59:27
2023-11-20,DDoS,Low,Resolved,System compromise detected,frank,2025-04-15 13:51:41
2023-12-18,Data Breach,Low,Resolved,Unauthorized access attempt,heidi,2025-09-26 22:59:20
2025-07-21,Ransomware,Low,Resolved,Phishing email reported,heidi,2024-04-18 13:02:39
2024-09-16,Malware,Low,Open,Malware execution blocked,alice,2025-01-12 05:27:30
2023-12-22,Data Breach,Critical,Closed,System compromise detected,bob,2023-12-06 01:33:34
2025-07-04,Phishing,High,Open,Phishing email reported,eve,2024-12-17 06:48:52
2024-09-10,Ransomware,Critical,Closed,Phishing email reported,david,2024-05-21 06:11:31
2025-01-15,Phishing,Medium,Closed,Malware execution blocked,charlie,2024-08-21 00:09:15
2025-05-10,Insider Threat,Critical,Open,Suspicious activity detected,charlie,2024-10-19 09:08:38
2024-12-07,Phishing,Medium,Investigating,Suspicious activity detected,frank,2023-12-04 04:54:43
2025-03-02,Insider Threat,Low,Closed,Unauthorized access attempt,charlie,2024-01-10 02:58:55
2025-02-28,Malware,Medium,Investigating,Unauthorized access attempt,grace,2025-03-08 22:48:05
2024-07-07,Phishing,Medium,Open,Phishing email reported,bob,2025-08-22 16:45:14
2025-10-06,Data Breach,Low,Investigating,Malware execution blocked,grace,2025-04-21 23:54:11
2024-04-29,Malware,High,Investigating,Phishing email reported,charlie,2025-01-24 04:17:31
2023-12-14,Phishing,Critical,Investigating,System compromise detected,grace,2023-11-27 14:00:42
2025-11-10,Insider Threat,High,Open,Phishing email reported,charlie,2025-09-16 14:27:46
2025-04-26,Data Breach,High,Closed,System compromise detected,david,2024-01-20 02:05:20
2025-10-26,Ransomware,Medium,Investigating,Phishing email reported,heidi,2025-05-30 22:34:51
2024-03-31,Phishing,Low,Investigating,Unauthorized access attempt,heidi,2025-06-13 13:51:21
2025-08-08,DDoS,Critical,Open,Malware execution blocked,alice,2023-11-23 11:01:02
2025-02-11,Insider Threat,Medium,Resolved,Suspicious activity detected,eve,2025-03-01 05:27:02
2025-02-21,DDoS,Low,Investigating,Malware execution blocked,alice,2025-09-02 07:13:49
2024-10-28,Malware,Critical,Investigating,Phishing email reported,charlie,2024-07-13 07:37:43
2025-08-13,Phishing,Medium,Resolved,Phishing email reported,david,2024-04-16 13:53:24
2024-01-24,Data Breach,Medium,Investigating,Malware execution blocked,bob,2024-06-04 20:13:37
2024-08-04,Malware,Critical,Closed,Unauthorized access attempt,heidi,2025-06-19 06:06:08
2025-06-07,Malware,Medium,Open,Malware execution blocked,alice,2025-05-06 20:59:17
2025-06-13,DDoS,Critical,Resolved,Unauthorized access attempt,grace,2024-01-27 18:24:17
2025-08-29,Insider Threat,Critical,Open,Phishing email reported,frank,2024-03-12 00:56:14
2024-05-20,Phishing,Low,Investigating,Phishing email reported,bob,2023-12-29 22:28:18
2024-02-04,Insider Threat,Critical,Investigating,Unauthorized access attempt,heidi,2024-07-06 04:12:12
2024-12-13,Ransomware,Critical,Resolved,System compromise detected,bob,2025-02-04 23:21:41
2024-12-03,Malware,Medium,Open,Unauthorized access attempt,charlie,2025-02-22 19:02:15
2025-10-25,DDoS,Low,Resolved,Phishing email reported,heidi,2024-07-07 00:29:00
2025-06-27,Insider Threat,Critical,Closed,Malware execution blocked,eve,2024-11-11 23:19:30
2025-11-11,Malware,Low,Investigating,Malware execution blocked,david,2025-03-26 22:41:40
2024-08-06,Insider Threat,Critical,Closed,Phishing email reported,grace,2025-10-06 10:30:28
2023-11-24,Insider Threat,Critical,Resolved,Suspicious activity detected,eve,2025-02-02 03:16:49
2025-10-26,Phishing,High,Investigating,Suspicious activity detected,eve,2025-09-02 03:32:50
2025-10-22,Malware,Medium,Closed,Unauthorized access attempt,eve,2024-02-15 07:39:42
2025-07-17,DDoS,Medium,Closed,System compromise detected,bob,2024-11-22 08:37:08
2024-12-19,Phishing,Medium,Resolved,System compromise detected,bob,2025-07-05 08:58:08
2025-06-01,Data Breach,High,Open,Phishing email reported,bob,2025-08-18 22:16:05
2024-06-27,Phishing,Medium,Investigating,Malware execution blocked,charlie,2024-10-09 15:16:39
2025-04-12,Malware,High,Investigating,Suspicious activity detected,grace,2024-07-16 08:12:28
2025-08-01,Malware,Medium,Open,Phishing email reported,alice,2025-06-25 10:16:23
2025-01-25,Malware,Low,Resolved,Unauthorized access attempt,grace,2024-02-10 17:17:22
2024-01-06,Malware,Low,Investigating,Unauthorized access attempt,eve,2025-06-29 18:51:54
2025-10-12,Malware,Low,Investigating,Phishing email reported,grace,2025-05-19 09:22:11
2025-04-09,Phishing,Low,Open,Unauthorized access attempt,david,2024-10-05 09:41:48
2025-01-07,Phishing,High,Resolved,Unauthorized access attempt,david,2024-11-18 00:49:10
2023-12-16,Data Breach,Medium,Open,Suspicious activity detected,grace,2024-09-13 22:25:59
2024-01-07,Phishing,Critical,Investigating,System compromise detected,eve,2024-04-11 13:19:38
2025-04-29,DDoS,Medium,Investigating,Suspicious activity detected,grace,2025-03-19 03:11:37
2024-01-09,Malware,Critical,Investigating,Phishing email reported,eve,2024-06-24 03:42:21
2025-05-20,Ransomware,Medium,Open,Suspicious activity detected,alice,2023-12-03 20:59:51
2025-03-07,Insider Threat,Medium,Resolved,System compromise detected,grace,2024-12-03 09:02:36
2024-06-28,DDoS,High,Open,Unauthorized access attempt,grace,2024-02-18 22:39:11
2024-12-16,Malware,Medium,Investigating,Phishing email reported,heidi,2025-02-02 05:59:39
2025-02-24,DDoS,Critical,Open,Phishing email reported,bob,2024-08-31 20:57:30
2024-01-01,DDoS,Medium,Closed,Malware execution blocked,charlie,2024-02-05 22:29:22
2025-05-06,Malware,High,Closed,Suspicious activity detected,bob,2025-03-27 01:24:02
2024-08-03,Malware,Critical,Closed,Malware execution blocked,heidi,2024-04-19 03:53:02